PLATFORM_CODE;TECH_PARAMETER_ID;DIM_LEVEL;PARAMETER_VALUE
1900859;429;1;GMMC
1900858;429;1;GMMC
3901079;429;1;M77-4
3901078;429;1;M77-4
6902578;429;1;PS88/2
6901028;429;1;catarina
6901896;429;1;ArgoCruise1
7900508;429;1;PS116
6900918;429;1;ECOAO
6901895;429;1;ArgoCruise1
1900609;429;1;GMMC EGEE
3901612;429;1;JRsouth
1900601;429;1;GMMC EGEE
6901881;429;1;n/a
6901030;429;1;catarina
3900529;429;1;GMMC FLOPS
1900275;429;1;ARGO SPAIN
3901667;429;1;MSM74
3901668;429;1;MSM74
3901669;429;1;MSM74
3901675;429;1;M148
6903230;429;1;Southern Ocean
3901655;429;1;FGS Hessen
3901932;429;1;RETRO-EZR
3901659;429;1;FGS Hessen
7900512;429;1;PS117
6902903;429;1;Bio Argo Med 2
6903229;429;1;Southern Ocean
6903578;429;1;2021205
6901775;429;1;BIO ARGO MED
6902848;429;1;PERLE 1
6903239;429;1;Tyrrhenian Sea
6903765;429;1;In transit to Egypt
3901921;429;1;RETRO-EZR
3901647;429;1;PS111
3901671;429;1;M148
6901772;429;1;BIO ARGO MED
6903236;429;1;Ionian Sea
6902763;429;1;SANAE
6902774;429;1;SANAE
6902775;429;1;SANAE
3902131;429;1;PIRATA FR28
6902776;429;1;SANAE
6902777;429;1;SANAE
6902778;429;1;SANAE
6902779;429;1;SANAE
6903237;429;1;Ionian Sea
6903568;429;1;2020608
6902780;429;1;SANAE
6902781;429;1;SANAE
6902790;429;1;OVIDE
6902782;429;1;SANAE
6902723;429;1;PIRATA FR28
7900544;429;1;M160
6203706;429;1;TRANSIT
6903705;429;1;MSC2
6903569;429;1;2020608
3902129;429;1;CAPRICORN
3902120;429;1;JC159
3902121;429;1;JC159
1901213;429;1;M85/1
6901249;429;1;M127
6900573;429;1;MSM10/1
6900574;429;1;MSM10/1
6900575;429;1;MSM10/1
6900742;429;1;BEAGLE
6900753;429;1;64PE342
6901060;429;1;85/1
6900778;429;1;Malaspina
1901209;429;1;M85/2
6900805;429;1;15AK2011183
6900858;429;1;Cruise ANT_XVII/2
6900859;429;1;Cruise ANT_XVII/2
6900861;429;1;Cruise ANT_XVII/2
6900779;429;1;Malaspina
5903129;429;1;PNBOIA XII
6900924;429;1;PIRATA FR21
6901485;429;1;n/a
6901484;429;1;n/a
6901486;429;1;n/a
6903177;429;1;n/a
1901354;429;1;MSM22
6901221;429;1;n/a
6900765;429;1;Malaspina
6901967;429;1;n/a
3901099;429;1;JR283b
6900947;429;1;Transit BTBP Physindien
6900942;429;1;PIRATA FR21
6900741;429;1;BEAGLE
1901208;429;1;RSS Discovery cruise 368
1901217;429;1;M85/1
1901218;429;1;M85/1
6901438;429;1;AMT22
5902317;429;1;n/a
1901215;429;1;M85/1
3901911;429;1;AREX2017
1901205;429;1;RRS Discovery Cruise 368
6900964;429;1;MOOSE
3901988;429;1;ALL0118
4901680;429;1;MSM21-2
4901417;429;1;n/a
6901061;429;1;85/1
1901214;429;1;M85/1
6900803;429;1;15AK2011183
6901437;429;1;AMT22
6901225;429;1;n/a
1901206;429;1;RSS Discovery cruise 368
1901211;429;1;M85/1
6901512;429;1;REY1
6901496;429;1;BOUSSOLE 137
6902906;429;1;MOANA-MATY2
6900927;429;1;KEOPS II
6900916;429;1;COCES2
6900860;429;1;Cruise ANT_XVII/2
6900685;429;1;n/a
6900956;429;1;n/a
5902316;429;1;n/a
4901418;429;1;n/a
6900895;429;1;n/a
6900868;429;1;STRATUS 11
6900769;429;1;Malaspina
6900987;429;1;PIRATA FR22
6901472;429;1;AMT22
6900986;429;1;SOSCEx 2012
6900869;429;1;STRATUS 11
6900870;429;1;STRATUS 11
6900930;429;1;KEOPS II
6901439;429;1;AMT22
6901552;429;1;ALEXIC
5902280;429;1;n/a
6902717;429;1;ASPEX
6901048;429;1;342
6901047;429;1;342
6900848;429;1;n/a
6901440;429;1;AMT22
6900908;429;1;SPRAYALIS 03
6901049;429;1;342
6900844;429;1;n/a
6901050;429;1;342
6902696;429;1;RREX-BOCATS
6900920;429;1;KEOPS II
6903176;429;1;SeaKeepers
3901631;429;1;MSM68
6901497;429;1;RHOMA 2011
6901012;429;1;ANT-XXVIII/3
5903130;429;1;OCEANO SUL
6901910;429;1;ARKXXVIII
6903173;429;1;Venus3 OceanCertain2015
6902633;429;1;HUD2015030
6900702;429;1;ANT-XXVII/1
6900973;429;1;ICE-CTD
6901965;429;1;n/a
6901038;429;1;n/a
6900871;429;1;STRATUS 11
6900703;429;1;ANT-XXVII/1
6901018;429;1;RARA AVIS Opportunity
6900875;429;1;STRATUS 11
6901410;429;1;Opportunité VSF
6900928;429;1;KEOPS II
6900937;429;1;SAMOC
6900874;429;1;STRATUS 11
6900872;429;1;STRATUS 11
6900939;429;1;MOOSE
6902896;429;1;ARCTICNET IPS18
6902897;429;1;ARCTICNET IPS18
6901011;429;1;ANT-XXVII/3
6900704;429;1;ANT-XXVII/1
